prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59293638638555, 130.3515358251802]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-31.632351507078894,"[33.59285236618815, 130.351564843329]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-39.24641720836449,"[33.59275123852639, 130.3515872397743]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5927516768618, 130.35158822044767)"
-74.68732010414254,"[33.59265739473848, 130.3515921515695]","(6580, 6584)","(33.5927516768618, 130.35158822044767)","(33.5926327, 130.3516414)"
-85.99668582440275,"[33.59256050831972, 130.3515993600062]","(6574, 6580)","(33.5926327, 130.3516414)","(33.59258373457605, 130.35159650555036)"
-112.75161136373079,"[33.59247293419538, 130.3516234998874]","(6564, 6580)","(33.59258373457605, 130.35159650555036)","(33.59247976079607, 130.35166601643556)"
-117.76252484492534,"[33.59237804266958, 130.351669499772]","(6564, 6580)","(33.59247976079607, 130.35166601643556)","(33.592380053877406, 130.35168202571546)"
-124.43727690120244,"[33.59229077029376, 130.3516769093744]","(6564, 6580)","(33.592380053877406, 130.35168202571546)","(33.59229381507867, 130.3516958725085)"
-129.00936119203368,"[33.5921899192348, 130.3517009822003]","(6553, 6564)","(33.59229381507867, 130.3516958725085)","(33.592191740592256, 130.3517122956322)"
-136.61550899747587,"[33.59206088305929, 130.3516811519069]","(6552, 6553)","(33.592191740592256, 130.3517122956322)","(33.59206965297826, 130.35167992001192)"
-150.01476024322844,"[33.59197150360196, 130.3517244012378]","(6545, 6553)","(33.59206965297826, 130.35167992001192)","(33.591975055812334, 130.35174687891754)"
-153.70178224994504,"[33.59190493452697, 130.3517592531911]","(6545, 6553)","(33.591975055812334, 130.35174687891754)","(33.5919054, 130.3517584)"
-159.30399155683617,"[33.59189532168145, 130.3517761295545]","(6545, 6546)","(33.5919054, 130.3517584)","(33.59190737806704, 130.3517746631512)"
-277.0484732972826,"[33.59176142796277, 130.3517984469704]","(6546, 6547)","(33.59190737806704, 130.3517746631512)","(33.5919284, 130.3519475)"
Path2
1,"[33.59293638638555, 130.3515358251802]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-31.632351507078894,"[33.59285236618815, 130.351564843329]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-39.24641720836449,"[33.59275123852639, 130.3515872397743]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5927516768618, 130.35158822044767)"
-74.68732010414254,"[33.59265739473848, 130.3515921515695]","(6580, 6584)","(33.5927516768618, 130.35158822044767)","(33.5926327, 130.3516414)"
-85.99668582440275,"[33.59256050831972, 130.3515993600062]","(6574, 6580)","(33.5926327, 130.3516414)","(33.59258373457605, 130.35159650555036)"
-112.75161136373079,"[33.59247293419538, 130.3516234998874]","(6564, 6580)","(33.59258373457605, 130.35159650555036)","(33.59247976079607, 130.35166601643556)"
-117.76252484492534,"[33.59237804266958, 130.351669499772]","(6564, 6580)","(33.59247976079607, 130.35166601643556)","(33.592380053877406, 130.35168202571546)"
-124.43727690120244,"[33.59229077029376, 130.3516769093744]","(6564, 6580)","(33.592380053877406, 130.35168202571546)","(33.59229381507867, 130.3516958725085)"
-129.00936119203368,"[33.5921899192348, 130.3517009822003]","(6553, 6564)","(33.59229381507867, 130.3516958725085)","(33.592191740592256, 130.3517122956322)"
-136.61550899747587,"[33.59206088305929, 130.3516811519069]","(6552, 6553)","(33.592191740592256, 130.3517122956322)","(33.59206965297826, 130.35167992001192)"
-150.01476024322844,"[33.59197150360196, 130.3517244012378]","(6545, 6553)","(33.59206965297826, 130.35167992001192)","(33.591975055812334, 130.35174687891754)"
-153.70178224994504,"[33.59190493452697, 130.3517592531911]","(6545, 6553)","(33.591975055812334, 130.35174687891754)","(33.5919054, 130.3517584)"
-159.30399155683617,"[33.59189532168145, 130.3517761295545]","(6545, 6546)","(33.5919054, 130.3517584)","(33.59190737806704, 130.3517746631512)"
-277.0484732972826,"[33.59176142796277, 130.3517984469704]","(6546, 6554)","(33.59190737806704, 130.3517746631512)","(33.5919284, 130.3519475)"
Path3
1,"[33.59293638638555, 130.3515358251802]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-31.632351507078894,"[33.59285236618815, 130.351564843329]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5928128, 130.3515609)"
-39.24641720836449,"[33.59275123852639, 130.3515872397743]","(6584, 6591)","(33.5928128, 130.3515609)","(33.5927516768618, 130.35158822044767)"
-74.68732010414254,"[33.59265739473848, 130.3515921515695]","(6580, 6584)","(33.5927516768618, 130.35158822044767)","(33.5926327, 130.3516414)"
-85.99668582440275,"[33.59256050831972, 130.3515993600062]","(6574, 6580)","(33.5926327, 130.3516414)","(33.59258373457605, 130.35159650555036)"
-112.75161136373079,"[33.59247293419538, 130.3516234998874]","(6564, 6580)","(33.59258373457605, 130.35159650555036)","(33.59247976079607, 130.35166601643556)"
