prob,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-56.83502116960227,"(10188, 10192)","(33.594006330813215, 130.3515114041374)","(33.59391693835134, 130.3514720807797)"
-62.76954418728835,"(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-80.89432906664481,"(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-86.36669674008874,"(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-143.0716367966698,"(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-155.11514347611836,"(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-275.7125867442665,"(6622, 10191)","(33.59373182471157, 130.35127699227624)","(33.5937467, 130.3514224)"
-397.6171716057709,"(6618, 6622)","(33.5937467, 130.3514224)","(33.59378659596388, 130.35127581532788)"
Path7
1,"(6626, 10192)","(33.5940451, 130.351371)","(33.5940451, 130.351371)"
-7.652492682498121,"(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.5940253, 130.3514787)"
-64.08883700234661,"(10188, 10192)","(33.5940253, 130.3514787)","(33.593952687006656, 130.35146312085533)"
-85.57806438717249,"(10188, 10192)","(33.593952687006656, 130.35146312085533)","(33.59391693835134, 130.3514720807797)"
-91.51258740485856,"(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-109.63737228421502,"(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-115.10973995765895,"(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-171.81468001424003,"(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
-183.8581866936886,"(6616, 10191)","(33.5937598, 130.3514183)","(33.59373182471157, 130.35127699227624)"
-283.5001924663254,"(6616, 10191)","(33.59373182471157, 130.35127699227624)","(33.59373055141724, 130.35126454567188)"
-401.5960701363614,"(6619, 10191)","(33.59373055141724, 130.35126454567188)","(33.5937467, 130.3514224)"
